slice_file_name,fsID,start,end,salience,fold,classID,class
100032-3-0-0.wav,100032,0.0,0.317551,1,5,3,dog_bark
100648-1-0-0.wav,100648,4.823402,5.471927,2,10,1,car_horn
100648-1-1-0.wav,100648,8.998279,10.052132,2,10,1,car_horn
100648-1-2-0.wav,100648,16.699509,17.104837,2,10,1,car_horn
100648-1-3-0.wav,100648,17.631764,19.253075,2,10,1,car_horn
100648-1-4-0.wav,100648,25.332994,27.197502,2,10,1,car_horn
100652-3-0-0.wav,100652,0.0,4.0,1,2,3,dog_bark
100652-3-0-1.wav,100652,0.5,4.5,1,2,3,dog_bark
100652-3-0-2.wav,100652,1.0,5.0,1,2,3,dog_bark
100652-3-0-3.wav,100652,1.5,5.5,1,2,3,dog_bark
100795-3-0-0.wav,100795,0.19179,4.19179,1,10,3,dog_bark
100795-3-1-0.wav,100795,13.059155,17.059155,1,10,3,dog_bark
100795-3-1-1.wav,100795,13.559155,17.559155,1,10,3,dog_bark
100795-3-1-2.wav,100795,14.059155,18.059155,1,10,3,dog_bark
101281-3-0-0.wav,101281,0.341333,4.341333,2,6,3,dog_bark
101281-3-0-14.wav,101281,7.341333,11.341333,2,6,3,dog_bark
101281-3-0-5.wav,101281,2.841333,6.8413330000000006,2,6,3,dog_bark
101415-3-0-2.wav,101415,1.0,5.0,1,1,3,dog_bark
101415-3-0-3.wav,101415,1.5,5.5,1,1,3,dog_bark
101415-3-0-8.wav,101415,4.0,8.0,1,1,3,dog_bark
102102-3-0-0.wav,102102,1.573952,4.673824,2,4,3,dog_bark
102103-3-0-0.wav,102103,1.97603,2.508892,2,10,3,dog_bark
102103-3-1-0.wav,102103,4.179637,4.568182,2,10,3,dog_bark
102104-3-0-0.wav,102104,2.429279,3.241121,2,2,3,dog_bark
102105-3-0-0.wav,102105,2.041889,6.041888999999999,2,3,3,dog_bark
102305-6-0-0.wav,102305,0.0,2.61161,1,1,6,gun_shot
103199-4-0-0.wav,103199,0.0,4.0,1,3,4,drilling
103199-4-0-3.wav,103199,1.5,5.5,1,3,4,drilling
103199-4-0-4.wav,103199,2.0,6.0,1,3,4,drilling
103199-4-0-5.wav,103199,2.5,6.5,1,3,4,drilling
103199-4-0-6.wav,103199,3.0,7.0,1,3,4,drilling
103199-4-1-0.wav,103199,16.097136,17.617205,2,3,4,drilling
103199-4-2-0.wav,103199,17.617205,21.617205,1,3,4,drilling
103199-4-2-1.wav,103199,18.117205,22.117205,1,3,4,drilling
103199-4-2-10.wav,103199,22.617205,26.617205,1,3,4,drilling
103199-4-2-11.wav,103199,23.117205,27.117205,1,3,4,drilling
103199-4-2-2.wav,103199,18.617205,22.617205,1,3,4,drilling
103199-4-2-3.wav,103199,19.117205,23.117205,1,3,4,drilling
103199-4-2-4.wav,103199,19.617205,23.617205,1,3,4,drilling
103199-4-2-5.wav,103199,20.117205,24.117205,1,3,4,drilling
103199-4-2-6.wav,103199,20.617205,24.617205,1,3,4,drilling
103199-4-2-7.wav,103199,21.117205,25.117205,1,3,4,drilling
103199-4-2-8.wav,103199,21.617205,25.617205,1,3,4,drilling
103199-4-2-9.wav,103199,22.117205,26.117205,1,3,4,drilling
103199-4-4-0.wav,103199,46.186699,48.720146,1,3,4,drilling
103199-4-6-0.wav,103199,50.591,51.916188,1,3,4,drilling
106955-6-0-0.wav,106955,0.495575,1.649031,1,9,6,gun_shot
107090-1-0-0.wav,107090,25.500254,26.099176,2,8,1,car_horn
107090-1-1-0.wav,107090,29.715744,30.54502,2,8,1,car_horn
110622-6-0-0.wav,110622,0.0,1.501211,1,3,6,gun_shot
111048-6-0-0.wav,111048,0.0,1.314579,1,6,6,gun_shot
117536-1-0-0.wav,117536,31.064967,31.640588,2,4,1,car_horn
118070-1-0-0.wav,118070,0.392887,0.617964,1,3,1,car_horn
118496-1-0-0.wav,118496,1.394779,1.649762,2,3,1,car_horn
118496-1-1-0.wav,118496,1.963587,2.155369,2,3,1,car_horn
121299-1-0-0.wav,121299,49.966977,50.59947,2,5,1,car_horn
122690-6-0-0.wav,122690,12.231953,15.37784,1,1,6,gun_shot
125520-1-0-0.wav,125520,0.175344,1.03822,1,8,1,car_horn
125520-1-1-0.wav,125520,1.87341,4.051365,1,8,1,car_horn
125520-1-2-0.wav,125520,4.572783,5.440273,1,8,1,car_horn
125520-1-3-0.wav,125520,5.841718,6.709209,1,8,1,car_horn
125520-1-4-0.wav,125520,7.318298,7.885858,1,8,1,car_horn
128465-1-0-0.wav,128465,7.177949,11.177949,2,6,1,car_horn
128465-1-0-1.wav,128465,7.677949,11.677949,2,6,1,car_horn
128465-1-0-2.wav,128465,8.177949,12.177949,2,6,1,car_horn
131571-6-0-0.wav,131571,0.128306,2.031517,1,8,6,gun_shot
133797-6-0-0.wav,133797,3.254115,4.66165,1,6,6,gun_shot
133797-6-1-0.wav,133797,6.895626,8.845512,1,6,6,gun_shot
133797-6-2-0.wav,133797,9.116689,10.885791,1,6,6,gun_shot
135526-6-0-0.wav,135526,3.531258,5.006647,1,3,6,gun_shot
135526-6-1-0.wav,135526,5.006647,6.457848,1,3,6,gun_shot
135526-6-10-0.wav,135526,22.759683,25.371846,1,3,6,gun_shot
135526-6-11-0.wav,135526,25.371846,27.766329,1,3,6,gun_shot
135526-6-12-0.wav,135526,27.766329,30.451053,1,3,6,gun_shot
135526-6-13-0.wav,135526,30.451053,31.007347,1,3,6,gun_shot
135526-6-2-0.wav,135526,6.457848,9.045825,1,3,6,gun_shot
135526-6-3-0.wav,135526,9.045825,10.569587,1,3,6,gun_shot
135526-6-4-0.wav,135526,10.569587,12.359403,1,3,6,gun_shot
135526-6-5-0.wav,135526,12.359403,14.657139,1,3,6,gun_shot
135526-6-6-0.wav,135526,14.657139,16.858129,1,3,6,gun_shot
